500	
828.56	0	177
828.70	0	1825
829.56	0	353
829.70	0	646
830.57	0	263
831.57	0	303
832.53	0	428
832.59	0	137
833.53	0	302
834.54	0	2819
835.55	0	2579
836.55	0	2248
837.55	0	949
838.56	0	2446
839.57	0	1184
840.57	0	967
840.68	0	369
841.57	0	1113
841.68	0	263
842.57	0	664
842.69	0	227
843.51	0	140
843.58	0	615
844.52	0	358
844.59	0	268
845.52	0	281
845.59	0	168
846.53	0	222
846.60	0	138
847.55	0	147
848.55	0	365
849.56	0	217
850.56	0	376
851.56	0	218
852.56	0	270
853.54	0	278
854.51	0	339
854.57	0	355
855.52	0	347
855.58	0	413
856.53	0	273
856.58	0	529
857.54	0	688
858.54	0	728
858.60	0	220
859.55	0	437
860.56	0	210
861.54	0	286
862.56	0	217
862.62	0	260
863.56	0	332
864.56	0	250
865.55	0	448
866.57	0	269
867.58	0	640
868.59	0	1155
869.60	0	1006
870.61	0	381
871.55	0	187
871.61	0	347
872.50	0	797
872.62	0	236
873.50	0	575
873.62	0	200
874.51	0	306
874.57	0	148
875.51	0	171
875.57	0	228
876.56	0	167
876.64	0	164
877.56	0	390
878.56	0	290
879.52	0	937
879.62	0	240
880.53	0	800
881.54	0	425
882.55	0	597
883.55	0	1736
884.57	0	535
885.57	0	5786
886.57	0	1942
887.58	0	1286
888.58	0	322
888.64	0	1196
889.57	0	385
889.64	0	779
890.58	0	591
890.65	0	1447
891.58	0	639
891.66	0	715
892.60	0	244
893.59	0	257
894.55	0	217
894.62	0	849
895.49	0	150
895.63	0	1099
896.50	0	287
896.64	0	1056
897.50	0	185
897.57	0	141
897.66	0	692
898.51	0	198
898.58	0	238
898.67	0	1107
899.58	0	528
899.67	0	225
